"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
"2"	"1725"	"247"	"67"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 293, 3139"	"20"	"PIK3CA -> APC -> PIK3CA -> APC -> APC"
"1"	"1758"	"998"	"67"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 1829, 3201"	"0"	"PIK3CA -> APC -> PIK3CA -> APC"
"3"	"1765"	"1256"	"67"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 3215"	"138"	"PIK3CA -> APC -> APC"
"3"	"1779"	"127"	"68"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3243"	"0"	"PIK3CA -> APC -> APC"
"1"	"1789"	"127"	"68"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3261"	"0"	"PIK3CA -> APC -> PIK3CA"
"1"	"1801"	"127"	"68"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3281"	"0"	"PIK3CA -> APC -> APC"
"4"	"1806"	"127"	"68"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3291"	"0"	"PIK3CA -> APC -> PIK3CA"
"1"	"1819"	"127"	"68"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3309"	"0"	"PIK3CA -> APC -> APC"
"4"	"1831"	"127"	"68"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 3331"	"0"	"PIK3CA -> APC -> TP53"
"1"	"1852"	"207"	"68"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 383"	"213"	"PIK3CA -> APC -> PIK3CA -> PIK3CA"
"1"	"1854"	"207"	"68"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 239, 383, 3375"	"0"	"PIK3CA -> APC -> PIK3CA"
"7"	"1856"	"207"	"68"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 383, 3377"	"0"	"PIK3CA -> APC -> PIK3CA -> TP53"
"1"	"1869"	"246"	"68"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 455, 3405"	"0"	"PIK3CA -> APC -> APC -> PIK3CA"
"3"	"1882"	"376"	"68"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 293, 315, 3425"	"35"	"PIK3CA -> APC -> PIK3CA -> PIK3CA -> TP53 -> APC"
"1"	"1908"	"1524"	"68"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 2779, 3475"	"0"	"PIK3CA -> APC -> APC -> PIK3CA"
"5"	"1910"	"1626"	"68"	0	0.75	"1 0 1 1"	"0 0 0 0"	"213, 239, 2961, 3479"	"0"	"PIK3CA -> APC -> PIK3CA -> TP53"
"1"	"1923"	"127"	"69"	0	0.5	"1 0 0 1"	"0 0 0 0"	"213, 239, 3503"	"0"	"PIK3CA -> APC -> APC"
"1"	"1938"	"127"	"69"	0	0.5	"1 0 0 1"	"1 0 0 0"	"213, 3533"	"222"	"PIK3CA -> APC"
